city,crime,ind_string,value
282,Arraiolos,Crimes contra animais de companhia,3,3
283,Arraiolos,Crimes contra o Estado,3,3
284,Montemor-o-Novo,Roubo por esticão e na via pública,3,3
285,Mourão,Crimes contra o Estado,3,3
286,Portel,Crimes contra animais de companhia,3,3
287,Vendas Novas,Roubo por esticão e na via pública,3,3
288,Vila Viçosa,Furto de veículo e em veículo motorizado,3,3
292,Vila do Porto,Condução sem habilitação legal,3,3
293,Nordeste,Condução sem habilitação legal,3,3
294,Povoação,Furto de veículo e em veículo motorizado,3,3
295,Vila da Praia da Vitória,Roubo por esticão e na via pública,3,3
296,Calheta,Condução sem habilitação legal,3,3
297,Velas,Crimes contra o Estado,3,3
298,Velas,Condução sem habilitação legal,3,3
299,São Roque do Pico,Crimes contra o Estado,3,3
300,São Roque do Pico,Condução sem habilitação legal,3,3
301,Santa Cruz das Flores,Crimes contra a vida em sociedade,3,3
305,Machico,Crimes contra animais de companhia,3,3
306,Porto Moniz,Violência doméstica contra cônjuge ou análogos,3,3
307,São Vicente,Crimes contra animais de companhia,3,3
308,Monção,Crimes contra animais de companhia,4,4
309,Ponte da Barca,Crimes contra animais de companhia,4,4
310,Terras de Bouro,Condução sem habilitação legal,4,4
311,Matosinhos,Crimes contra a identidade cultural e integridade pessoal,4,4
312,Chaves,Crimes contra animais de companhia,4,4
313,Montalegre,Condução sem habilitação legal,4,4
314,Ribeira de Pena,Crimes contra animais de companhia,4,4
315,Ribeira de Pena,Crimes contra o Estado,4,4
316,Celorico de Basto,Condução sem habilitação legal,4,4
317,Felgueiras,Crimes contra animais de companhia,4,4
318,Carrazeda de Ansiães,Furto de veículo e em veículo motorizado,4,4
319,Mesão Frio,Furto de veículo e em veículo motorizado,4,4
320,Mesão Frio,Condução sem habilitação legal,4,4
321,Murça,Condução sem habilitação legal,4,4
322,Sabrosa,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",4,4
323,Lamego,Roubo por esticão e na via pública,4,4
324,Moimenta da Beira,Crimes contra animais de companhia,4,4
325,Penedono,Violência doméstica contra cônjuge ou análogos,4,4
326,Penedono,Crimes contra a vida em sociedade,4,4
327,São João da Pesqueira,Crimes contra o Estado,4,4
328,Mogadouro,Crimes contra o Estado,4,4
329,Vila Flor,Crimes contra o Estado,4,4
330,Alcoutim,Furto de veículo e em veículo motorizado,4,4
331,Monchique,Furto de veículo e em veículo motorizado,4,4
332,Olhão,Crimes contra a identidade cultural e integridade pessoal,4,4
333,Caldas da Rainha,Crimes contra a identidade cultural e integridade pessoal,4,4
334,Cadaval,Condução sem habilitação legal,4,4
335,Sobral de Monte Agraço,Crimes contra animais de companhia,4,4
336,Águeda,Crimes contra animais de companhia,4,4
337,Águeda,Roubo por esticão e na via pública,4,4
338,Sever do Vouga,Roubo por esticão e na via pública,4,4
339,Arganil,Furto de veículo e em veículo motorizado,4,4
340,Condeixa-a-Nova,Crimes previstos em legislação avulsa,4,4
341,Góis,Condução sem habilitação legal,4,4
342,Mira,Crimes contra animais de companhia,4,4
343,Penela,Crimes previstos em legislação avulsa,4,4
344,Alvaiázere,Crimes contra o Estado,4,4
345,Batalha,Crimes contra animais de companhia,4,4
346,Pedrógão Grande,Crimes contra o Estado,4,4
347,Pedrógão Grande,Condução sem habilitação legal,4,4
348,Porto de Mós,Roubo por esticão e na via pública,4,4
349,Carregal do Sal,Crimes contra animais de companhia,4,4
350,Carregal do Sal,Crimes contra o Estado,4,4
351,Penalva do Castelo,Crimes contra o Estado,4,4
352,Penalva do Castelo,Crimes previstos em legislação avulsa,4,4
353,Penalva do Castelo,Condução sem habilitação legal,4,4
354,Tondela,Roubo por esticão e na via pública,4,4
355,Vila Nova de Paiva,Crimes contra animais de companhia,4,4
356,Vouzela,Condução sem habilitação legal,4,4
357,Penamacor,Furto de veículo e em veículo motorizado,4,4
358,Penamacor,Crimes previstos em legislação avulsa,4,4
359,Alcanena,Crimes contra animais de companhia,4,4
360,Constância,Furto de veículo e em veículo motorizado,4,4
361,Vila Nova da Barquinha,Crimes contra animais de companhia,4,4
362,Vila Nova da Barquinha,Crimes contra o Estado,4,4
363,Beiras e Serra da Estrela,Crimes contra a identidade cultural e integridade pessoal,4,4
364,Figueira de Castelo Rodrigo,Furto de veículo e em veículo motorizado,4,4
365,Figueira de Castelo Rodrigo,Crimes contra o Estado,4,4
366,Fornos de Algodres,Condução sem habilitação legal,4,4
367,Guarda,Roubo por esticão e na via pública,4,4
368,Mêda,Condução sem habilitação legal,4,4
369,Pinhel,Crimes contra animais de companhia,4,4
370,Pinhel,Condução sem habilitação legal,4,4
371,Loures,Crimes de homicídio voluntário consumado,4,4
372,Odivelas,Crimes contra a identidade cultural e integridade pessoal,4,4
373,Moita,Crimes contra a identidade cultural e integridade pessoal,4,4
374,Odemira,Crimes contra animais de companhia,4,4
375,Grândola,Crimes contra animais de companhia,4,4
376,Almodôvar,Crimes contra o Estado,4,4
377,Almodôvar,Condução sem habilitação legal,4,4
378,Barrancos,Condução sem habilitação legal,4,4
379,Cuba,Furto de veículo e em veículo motorizado,4,4
380,Ferreira do Alentejo,Crimes contra animais de companhia,4,4
381,Lezíria do Tejo,Crimes de homicídio voluntário consumado,4,4
382,Benavente,Crimes contra animais de companhia,4,4
383,Coruche,Roubo por esticão e na via pública,4,4
384,Golegã,Condução sem habilitação legal,4,4
385,Fronteira,Violência doméstica contra cônjuge ou análogos,4,4
386,Fronteira,Ofensa à integridade física voluntária simples,4,4
387,Marvão,Crimes contra o Estado,4,4
388,Marvão,Crimes previstos em legislação avulsa,4,4
389,Nisa,Crimes contra animais de companhia,4,4
390,Ponte de Sor,Crimes contra animais de companhia,4,4
391,Portalegre,Roubo por esticão e na via pública,4,4
392,Sousel,Furto de veículo e em veículo motorizado,4,4
393,Alandroal,Condução sem habilitação legal,4,4
394,Arraiolos,Crimes previstos em legislação avulsa,4,4
395,Arraiolos,Condução sem habilitação legal,4,4
396,Borba,Crimes contra o Estado,4,4
397,Estremoz,Crimes contra animais de companhia,4,4
398,Mora,Furto de veículo e em veículo motorizado,4,4
399,Redondo,Furto de veículo e em veículo motorizado,4,4
400,Reguengos de Monsaraz,Crimes contra animais de companhia,4,4
401,Vila do Porto,Furto de veículo e em veículo motorizado,4,4
402,Calheta,Ofensa à integridade física voluntária simples,4,4
403,São Roque do Pico,Crimes previstos em legislação avulsa,4,4
404,Horta,Crimes contra animais de companhia,4,4
405,Horta,Crimes contra o Estado,4,4
406,Lajes das Flores,Crimes contra a vida em sociedade,4,4
407,Lajes das Flores,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",4,4
408,Machico,Roubo por esticão e na via pública,4,4
409,Porto Moniz,Ofensa à integridade física voluntária simples,4,4
410,Porto Santo,Crimes contra animais de companhia,4,4
411,Porto Santo,Crimes contra o Estado,4,4
412,Monção,Crimes contra o Estado,5,5
413,Paredes de Coura,Furto de veículo e em veículo motorizado,5,5
414,Ponte da Barca,Crimes contra o Estado,5,5
415,Ponte da Barca,Crimes previstos em legislação avulsa,5,5
416,Vieira do Minho,Furto de veículo e em veículo motorizado,5,5
417,Vizela,Crimes contra animais de companhia,5,5
418,Mondim de Basto,Furto de veículo e em veículo motorizado,5,5
419,Mondim de Basto,Crimes previstos em legislação avulsa,5,5
421,Arouca,Condução sem habilitação legal,5,5
422,Boticas,Ofensa à integridade física voluntária simples,5,5
423,Ribeira de Pena,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",5,5
424,Vila Pouca de Aguiar,Furto de veículo e em veículo motorizado,5,5
425,Castelo de Paiva,Crimes contra animais de companhia,5,5
426,Amarante,Roubo por esticão e na via pública,5,5
427,Lousada,Roubo por esticão e na via pública,5,5
428,Marco de Canaveses,Crimes contra animais de companhia,5,5
429,Freixo de Espada à Cinta,Ofensa à integridade física voluntária simples,5,5
430,Torre de Moncorvo,Furto de veículo e em veículo motorizado,5,5
431,Alijó,Condução sem habilitação legal,5,5
432,Mesão Frio,Crimes previstos em legislação avulsa,5,5
433,Armamar,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",5,5
434,Armamar,Condução sem habilitação legal,5,5
435,Lamego,Crimes contra animais de companhia,5,5
436,Moimenta da Beira,Furto de veículo e em veículo motorizado,5,5
437,São João da Pesqueira,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",5,5
438,Sernancelhe,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",5,5
439,Macedo de Cavaleiros,Furto de veículo e em veículo motorizado,5,5
440,Macedo de Cavaleiros,Condução sem habilitação legal,5,5
441,Miranda do Douro,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",5,5
442,Vila Flor,Furto de veículo e em veículo motorizado,5,5
443,Vimioso,Ofensa à integridade física voluntária simples,5,5
444,Lagoa,Crimes contra animais de companhia,5,5
445,Monchique,"Condução de veículo com taxa de álcool igual ou superior a 1,2 g/l",5,5
446,Vila do Bispo,Condução sem habilitação legal,5,5
447,Nazaré,Roubo por esticão e na via pública,5,5
448,Arruda dos Vinhos,Condução sem habilitação legal,5,5
449,Lourinhã,Crimes contra animais de companhia,5,5
450,Lourinhã,Crimes contra o Estado,5,5
451,Aveiro,Crimes contra a identidade cultural e integridade pessoal,5,5
452,Murtosa,Condução sem habilitação legal,5,5
453,Cantanhede,Roubo por esticão e na via pública,5,5
454,Condeixa-a-Nova,Crimes contra o Estado,5,5
455,Góis,Crimes contra o Estado,5,5
456,Pampilhosa da Serra,Ofensa à integridade física voluntária simples,5,5
457,Penela,Ofensa à integridade física voluntária simples,5,5
458,Alvaiázere,Furto de veículo e em veículo motorizado,5,5
459,Pombal,Crimes contra animais de companhia,5,5
460,Aguiar da Beira,Furto de veículo e em veículo motorizado,5,5
461,Aguiar da Beira,Condução sem habilitação legal,5,5
462,Santa Comba Dão,Crimes contra animais de companhia,5,5
463,Vila de Rei,Ofensa à integridade física voluntária simples,5,5
464,Mação,Furto de veículo e em veículo motorizado,5,5
465,Sardoal,Crimes previstos em legislação avulsa,5,5
466,Tomar,Crimes contra animais de companhia,5,5
467,Celorico da Beira,Condução sem habilitação legal,5,5
468,Gouveia,Condução sem habilitação legal,5,5
469,Mêda,Crimes previstos em legislação avulsa,5,5
470,Trancoso,Crimes previstos em legislação avulsa,5,5
471,Sintra,Crimes de homicídio voluntário consumado,5,5
472,Alcochete,Roubo por esticão e na via pública,5,5
473,Almada,Crimes contra a identidade cultural e integridade pessoal,5,5
474,Montijo,Crimes contra a identidade cultural e integridade pessoal,5,5
475,Setúbal,Crimes de homicídio voluntário consumado,5,5
476,Alcácer do Sal,Crimes contra animais de companhia,5,5
477,Aljustrel,Condução sem habilitação legal,5,5
478,Castro Verde,Crimes contra o Estado,5,5
479,Mértola,Violência doméstica contra cônjuge ou análogos,5,5
480,Mértola,Furto de veículo e em veículo motorizado,5,5
481,Mértola,Crimes contra o Estado,5,5
482,Ourique,Furto de veículo e em veículo motorizado,5,5
483,Serpa,Crimes contra animais de companhia,5,5
484,Serpa,Crimes contra o Estado,5,5
485,Azambuja,Roubo por esticão e na via pública,5,5
486,Alpiarça,Crimes contra animais de companhia,5,5
487,Cartaxo,Roubo por esticão e na via pública,5,5
488,Golegã,Crimes contra o Estado,5,5
489,Avis,Crimes contra animais de companhia,5,5
490,Alandroal,Crimes previstos em legislação avulsa,5,5
491,Borba,Furto de veículo e em veículo motorizado,5,5
492,Borba,Crimes previstos em legislação avulsa,5,5
496,Ribeira Grande,Crimes contra animais de companhia,5,5
497,Vila da Praia da Vitória,Crimes contra animais de companhia,5,5
498,Santa Cruz da Graciosa,Furto de veículo e em veículo motorizado,5,5
499,Velas,Crimes contra animais de companhia,5,5
500,Lajes do Pico,Crimes contra a vida em sociedade,5,5
501,Lajes do Pico,Crimes previstos em legislação avulsa,5,5
502,Madalena,Condução sem habilitação legal,5,5
503,Lajes das Flores,Violência doméstica contra cônjuge ou análogos,5,5
504,Santa Cruz das Flores,Crimes previstos em legislação avulsa,5,5
505,Corvo,Crimes contra as pessoas,5,5
506,Calheta,Crimes contra animais de companhia,5,5
507,Calheta,Crimes contra o Estado,5,5
